Table 6-56:  C Stocks in Yard Trimmings and Food Scraps in Landfills (MMT C),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carbon Pool,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Yard Trimmings,155.8,161.3,166.7,171.4,175.6,179,181.8,184.6,186.9,189.4,191.8,194.3,196.8,198.9,200.9,202.9,204.9,206.8,208.7,211,213.6,216.1,218.6,220.9,223.2
,Grass,14.5,15,15.4,15.8,16.1,16.3,16.5,16.6,16.8,17,17.1,17.4,17.6,17.7,17.9,18.1,18.2,18.4,18.6,18.8,19,19.3,19.5,19.7,20
,Leaves,66.7,69,71.4,73.4,75.2,76.7,77.9,79.1,80.2,81.2,82.3,83.4,84.6,85.5,86.4,87.3,88.2,89.1,90,91.1,92.2,93.4,94.5,95.6,96.6
,Branches,74.6,77.3,79.9,82.2,84.3,86,87.4,88.8,90,91.2,92.3,93.5,94.7,95.7,96.6,97.5,98.4,99.3,100.2,101.2,102.3,103.4,104.5,105.6,106.6
,Food Scraps,17.6,18.8,19.9,21,21.9,22.6,23.5,24.3,25.1,26,27.2,28.3,29.5,30.6,31.7,32.8,33.8,34.8,35.8,36.9,38,38.9,39.8,40.7,41.5
,Total Carbon Stocks,173.5,180.1,186.6,192.4,197.4,201.6,205.3,208.8,212,215.3,219,222.6,226.3,229.5,232.5,235.6,238.7,241.6,244.6,248,251.6,255,258.4,261.5,264.7
