Table 6-57:  Approach 2 Quantitative Uncertainty Estimates for CO2 Flux from Yard Trimmings and Food Scraps in Landfills (MMT CO2 Eq. and Percent),,,,,,,
,,,,,,,
,Source,Gas,2014 Flux Estimate,Uncertainty Range Relative to Flux Estimatea,,,
,,,(MMT CO2 Eq.),(MMT CO2 Eq.),,(%),
,,,,Lower,Upper,Lower,Upper
,,,,Bound,Bound,Bound,Bound
,Yard Trimmings and Food Scraps,CO2,-11.6,-18,-4.5,-44%,64%
,a Range of flux estimates predicted by Monte Carlo Stochastic Simulation for a 95 percent confidence interval.,,,,,,
,Note:  Parentheses indicate negative values or net C sequestration.,,,,,,
