Table 6-26:  Emissions from Liming (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Limestone,4.1,4.4,3.9,3.4,3.6,3.7,3.8,3.6,3.2,3.7,3.4,3.5,4.4,4.0,3.4,3.9,3.6,3.8,4.4,3.4,4.3,3.4,4.5,3.6,3.8
,Dolomite,0.6,0.6,0.5,0.4,0.5,0.7,0.6,0.7,1.5,0.8,0.9,0.9,0.6,0.5,0.5,0.4,0.6,0.7,0.6,0.3,0.5,0.4,1.5,0.3,0.3
,Totala,4.7,5.0,4.4,3.8,4.1,4.4,4.4,4.3,4.7,4.5,4.3,4.4,5.0,4.6,3.9,4.3,4.2,4.5,5.0,3.7,4.8,3.9,6,3.9,4.1
,"a Also includes emissions from liming on Land Converted to Cropland, Grassland Remaining Grassland, Land Converted to Grassland, Settlements Remaining Settlements, Forest Land Remaining Forest Land and Land Converted to Forest Land, as it is not currently possible to apportion the data by land-use category.",,,,,,,,,,,,,,,,,,,,,,,,,
,Note:  Totals may not sum due to independent rounding. ,,,,,,,,,,,,,,,,,,,,,,,,,
