"Table 2-15:  Emissions of NOx, CO, NMVOCs, and SO2 (kt)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Oil and Gas Activities,554, 581 , 573 , 589 , 587 , 582 , 433 , 442 , 440 , 414 , 389 , 400 , 545 , 533 , 522 ,510, 867 ," 1,225 "," 1,582 "," 1,894 ","2,205","2,517","2,517","2,517","2,517"
,Stationary Fossil Fuel Combustion,912, 975 ," 1,012 ", 901 , 897 , 973 ," 1,018 "," 1,017 "," 1,017 "," 1,045 "," 1,077 "," 1,080 "," 1,585 "," 1,298 "," 1,011 ",716, 654 , 593 , 531 , 553 ,576,599,599,599,599
,Waste Combustion,222, 226 , 230 , 256 , 248 , 237 , 304 , 313 , 326 , 302 , 257 , 258 , 243 , 243 , 242 ,241, 199 , 156 , 114 , 103 ,92,81,81,81,81
,Waste,673, 680 , 686 , 693 , 701 , 731 , 158 , 157 , 161 , 140 , 119 , 122 , 115 , 115 , 115 ,114, 94 , 74 , 54 , 49 ,44,38,38,38,39
,Agricultural Burning,NA, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ,NA, NA , NA , NA , NA ,NA,NA,NA,NA,NA
,SO2,"20,935"," 20,298 "," 20,033 "," 19,752 "," 19,365 "," 16,891 "," 16,680 "," 17,090 "," 17,186 "," 15,917 "," 14,829 "," 14,452 "," 13,637 "," 13,433 "," 13,219 ","13,196"," 11,904 "," 10,613 "," 9,365 "," 8,245 ","7,014","5,877","4,711","4,625","4,528"
,Stationary Fossil Fuel Combustion,"18,407"," 17,958 "," 17,683 "," 17,459 "," 17,134 "," 14,724 "," 14,744 "," 15,103 "," 15,189 "," 13,915 "," 12,848 "," 12,461 "," 11,613 "," 11,525 "," 11,426 ","11,541"," 10,473 "," 9,406 "," 8,303 "," 7,228 ","6,120","5,008","3,859","3,790","3,710"
,Industrial Processes and Product Use,"1,307"," 1,188 "," 1,188 "," 1,161 "," 1,137 "," 1,118 ", 954 , 986 , 992 , 985 ," 1,032 "," 1,048 ", 850 , 851 , 852 ,831, 784 , 737 , 690 , 654 ,617,604,604,604,604
,Mobile Fossil Fuel Combustion,390, 343 , 377 , 347 , 344 , 335 , 304 , 312 , 311 , 283 , 286 , 289 , 233 , 215 , 198 ,180, 165 , 150 , 135 , 126 ,117,108,108,108,108
,Oil and Gas Activities,793, 769 , 745 , 720 , 697 , 672 , 648 , 658 , 664 , 704 , 632 , 624 , 917 , 818 , 718 ,619, 459 , 299 , 218 , 220 ,144,142,125,108,90
,Waste Combustion,38, 39 , 39 , 56 , 48 , 42 , 29 , 29 , 30 , 30 , 29 , 30 , 23 , 23 , 24 ,25, 22 , 20 , 18 , 17 ,16,15,15,15,15
,Waste,+ , 1 , 1 , 8 , 6 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,1, 1 , 1 , 1 , 1 ,+ ,+ ,+ ,+ ,+ 
,Agricultural Burning,NA, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ,NA, NA , NA , NA , NA ,NA,NA,NA,NA,NA
,+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,
,NA - Not Available,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
,Source: (EPA 2015) except for estimates from Field Burning of Agricultural Residues.,,,,,,,,,,,,,,,,,,,,,,,,,
