Table 2-6:  Emissions from Industrial Processes and Product Use (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Metallurgical Coke Production,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
,N2O,31.6,31.1,29.3,31.0,31.3,34.9,35.2,28.6,24.1,23.2,23.3,20.0,20.9,20.7,18.9,22.8,24.0,27.9,18.1,16.7,20.1,25.5,20.4,19.1,20.8
,Nitric Acid Production,12.1,12.1,12.4,12.6,13.3,13.5,14.1,14.4,14.2,13.7,13.3,10.8,11.7,11.0,10.9,11.3,11.1,13.2,11.3,9.6,11.5,10.9,10.5,10.7,10.9
,Adipic Acid Production,15.2,14.9,13.0,13.9,13.5,16.9,16.7,9.4,5.1,4.7,5.3,4.5,4.9,5.5,3.7,7.1,8.6,10.3,2.5,2.7,4.2,10.2,5.5,4,5.4
,N?O from Product Uses,4.2,4.1,3.9,4.4,4.4,4.4,4.4,4.7,4.7,4.7,4.7,4.7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
,Semiconductor Manufacturing,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2
,HFCs,46.6,42.2,48.0,48.1,53.8,73.0,82.7,93.0,112.1,108.9,113.7,108.9,115.5,107.8,117.6,119.9,124.3,136.0,140.5,139.4,149.4,154.3,155.9,158.9,166.7
,Substitution of Ozone Depleting Substancesa,0.3,0.6,1.8,6.0,13.6,31.0,42.9,54.5,61.6,69.9,77.1,83.7,88.6,92.1,95.6,99.7,106.6,114.3,123.1,132.4,141.2,145.3,150.2,154.6,161.2
,HCFC-22 Production,46.1,41.4,46.0,41.9,39.9,41.7,39.4,38.1,49.9,38.5,36.2,25.0,26.7,15.6,21.8,20,17.5,21.5,17.2,6.8,8,8.8,5.5,4.1,5
,Semiconductor Manufacturing,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3
,Magnesium Production and Processing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1
,PFCs,24.3,20.9,19.5,19.5,18.0,18.6,19.9,18.3,17.0,16.9,15.9,8.2,10.2,8.2,6.8,6.7,6.3,7.8,6.1,3.9,4.5,7,6,5.8,5.6
,Semiconductor Manufacturing,2.8,2.8,2.8,3.5,3.9,4.9,5.4,5.7,7.0,7.1,6.0,4.2,4.1,3.8,3.5,3.2,3.4,3.3,2.9,2.0,2.7,3.5,3.1,2.9,3
,Aluminum Production,21.5,18.1,16.7,16.0,14.1,13.8,14.5,12.6,10.0,9.8,9.9,4.0,6.1,4.4,3.3,3.4,2.9,4.5,3.2,1.9,1.9,3.5,2.9,3,2.5
,SF6,31.1,29.8,29.9,29.4,28.0,26.6,25.9,24.2,21.2,20.9,17.9,17.1,16.1,15.8,14.6,14,12.8,11.2,10.3,9.3,9.5,10,7.6,7.2,7.3
,Electrical Transmission and Distribution,25.4,24.3,24.2,23.5,22.1,20.4,18.7,17.1,14.5,14.9,14.0,13.7,12.7,11.9,11.2,10.6,9.3,8.2,8.1,7.3,7,6.8,5.6,5.4,5.6
,Magnesium Production and Processing,5.2,4.9,5.2,5.3,5.2,5.4,6.3,6.0,5.4,4.8,2.9,2.7,2.8,3.3,2.7,2.7,2.8,2.5,1.8,1.6,2.1,2.8,1.6,1.5,1
,Semiconductor Manufacturing,0.5,0.5,0.5,0.6,0.7,0.9,1.0,1.0,1.2,1.3,1.0,0.7,0.6,0.7,0.7,0.7,0.7,0.5,0.4,0.3,0.4,0.4,0.4,0.4,0.7
,NF3,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.6,0.5,0.6,0.5,0.7,0.6,0.6,0.5,0.6,0.7,0.6,0.6,0.5
,Semiconductor Manufacturing,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.6,0.5,0.6,0.5,0.7,0.6,0.6,0.5,0.6,0.7,0.6,0.6,0.5
,Total,340.9,321.8,327.5,327.1,337.9,368.2,382.0,384.7,391.7,386.1,384.6,346.7,355.9,340.7,353.6,354.3,363.3,381.2,358.5,311.0,353,370.5,360.1,363.5,379.2
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,
,a Small amounts of PFC emissions also result from this source.,,,,,,,,,,,,,,,,,,,,,,,,,
,Note:  Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
