Table 2-13:  Transportation-Related Greenhouse Gas Emissions (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Vehicle,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,CH4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+ ,+ ,+ ,0.1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,N2O,0.7,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.5,0.6,0.5,0.4,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.3
,Ships and Boatsc,44.9,40,49.2,47.8,48.4,58.5,54.4,39.9,33.8,29.9,61.1,42.4,47.2,37.1,39.8,44.9,48,54.7,45.3,38.6,44.7,46.4,40.1,39.4,28.6
,CO2,44.3,39.5,48.5,47.1,47.7,57.7,53.7,39.3,33.3,29.3,60.2,41.8,46.5,36.6,39.3,44.3,47.4,53.9,44.7,38.1,44,45.5,39.3,38.7,28
,CH4,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,N2O,0.6,0.5,0.7,0.7,0.7,0.8,0.7,0.5,0.4,0.5,0.8,0.5,0.6,0.5,0.5,0.6,0.6,0.7,0.6,0.5,0.8,0.8,0.7,0.7,0.5
,HFCs,0,0,0,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Rail,39,36.8,37.7,38.8,41.7,43.1,43.9,44.1,44.4,46.1,46.1,46.5,46.1,47.8,50.5,51.1,53,52.2,48.5,41.3,44.2,45.9,44.6,45.5,47.6
,CO2,38.5,36.4,37.3,38.4,41.2,42.7,43.4,43.5,43.9,45.5,45.5,45.8,45.3,47.1,49.7,50.3,52.2,51.3,47.6,40.4,43.1,44.7,43.4,44.2,45.7
,CH4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,N2O,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4
,HFCs,0,0,0,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1.4
,Other Emissions from Electricity Generationd,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,+ ,0.1,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Pipelinese,36,32.9,32.2,34.1,37.5,38.2,38.9,41.2,35,35.5,35.2,34.4,36.4,32.5,31.1,32.2,32.3,34.2,35.6,36.7,37.1,37.8,40.3,45.9,46.5
,CO2,36,32.9,32.2,34.1,37.5,38.2,38.9,41.2,35,35.5,35.2,34.4,36.4,32.5,31.1,32.2,32.3,34.2,35.6,36.7,37.1,37.8,40.3,45.9,46.5
,Lubricants,11.8,10.6,10.8,11,11.5,11.3,11,11.6,12.1,12.2,12.1,11.1,10.9,10.1,10.2,10.2,9.9,10.2,9.5,8.5,9.5,9,8.3,8.8,9.1
,CO2,11.8,10.6,10.8,11,11.5,11.3,11,11.6,12.1,12.2,12.1,11.1,10.9,10.1,10.2,10.2,9.9,10.2,9.5,8.5,9.5,9,8.3,8.8,9.1
,Total Transportation,1554.4,1508.6,1562.1,1603.7,1657.6,1698.4,1751.8,1777.6,1820.8,1878.0,1926.7,1911.3,1951.4,1941.2,1986.0,2004.4,1998.1,1999.3,1902.0,1823.6,1832.0,1803.9,1784.3,1794.0,1814.5
,International Bunker Fuelsf,104.5,118.7,108.9,98.8,97.6,99.5,100.7,108,111.6,103.7,102.7,94.6,95.4,99.3,109.5,114.2,115.2,116.5,115.5,107.5,118.1,112.8,106.8,100.7,104.2
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,
,a Consists of emissions from jet fuel consumed by domestic operations of commercial aircraft (no bunkers).,,,,,,,,,,,,,,,,,,,,,,,,,
,b Consists of emissions from jet fuel and aviation gasoline consumption by general aviation and military aircraft.,,,,,,,,,,,,,,,,,,,,,,,,,
,"c Fluctuations in emission estimates are associated with fluctuations in reported fuel consumption, and may reflect issues with data sources.",,,,,,,,,,,,,,,,,,,,,,,,,
,"d Other emissions from electricity generation are a result of waste incineration (as the majority of municipal solid waste is combusted in “trash-to-steam” electricity generation plants), electrical transmission and distribution, and a portion of Other Process Uses of Carbonates (from pollution control equipment installed in electricity generation plants).",,,,,,,,,,,,,,,,,,,,,,,,,
,"e CO2 estimates reflect natural gas used to power pipelines, but not electricity. While the operation of pipelines produces CH4 and N2O, these emissions are not directly attributed to pipelines in the U.S. Inventory.",,,,,,,,,,,,,,,,,,,,,,,,,
,f Emissions from International Bunker Fuels include emissions from both civilian and military activities; these emissions are not included in the transportation totals.,,,,,,,,,,,,,,,,,,,,,,,,,
,"Notes: Passenger cars and light-duty trucks include vehicles typically used for personal travel and less than 8,500 lbs; medium- and heavy-duty trucks include vehicles larger than 8,500 lbs. HFC emissions primarily reflect HFC-134a. Totals may not sum due to independent rounding. ",,,,,,,,,,,,,,,,,,,,,,,,,
