Table 2-4:  Emissions from Energy (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,N2O,53.6,55.3,58.5,60.8,62.8,64.2,65.5,66.3,66.5,63.7,63.4,59.8,58.5,56.6,56.2,55.0,53.0,49.6,47.2,45.3,46.1,44.0,41.7,41.4,40.0
,Stationary Combustion,11.9,11.8,12.0,12.3,12.5,12.6,12.9,13.0,13.0,13.2,14.0,14.4,16.0,17.3,19.0,20.2,20.4,20.8,20.8,20.4,22.2,21.3,21.4,22.9,23.4
,Mobile Combustion,41.2,43.1,46.1,48.1,49.9,51.2,52.1,52.9,53.1,50.2,49.0,45.0,42.1,38.9,36.8,34.4,32.2,28.4,26.0,24.5,23.6,22.4,20.0,18.2,16.3
,Incineration of Waste,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3
,International Bunker Fuelsb,0.9,1.0,0.9,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.9,0.9
,Total,5324.9,5285.0,5387.0,5489.8,5580.6,5632.1,5819.0,5888.9,5928.0,5993.0,6165.1,6086.0,6114.0,6162.5,6268.6,6294.5,6211.2,6281.7,6110.0,5711.9,5884.6,5744.0,5533.9,5693.5,5746.2
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,
,a Emissions from Wood Biomass and Ethanol Consumption are not included specifically in summing energy sector totals. Net carbon fluxes from changes in biogenic carbon reservoirs are accounted for in the estimates for LULUCF.,,,,,,,,,,,,,,,,,,,,,,,,,
,b Emissions from International Bunker Fuels are not included in totals. ,,,,,,,,,,,,,,,,,,,,,,,,,
,Note:  Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
