Table 4-22:  CO2 Emissions from Urea Consumption for Non-Agricultural Purposes (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Urea Consumption,3.8,3.5,3.9,4.6,4.3,4.3,3.9,3.9,4.8,4.7,4.2,4.1,3.7,3.6,3.7,3.7,3.5,4.9,4.1,3.4,4.7,4,4.4,4.2,4
,Total,3.8,3.5,3.9,4.6,4.3,4.3,3.9,3.9,4.8,4.7,4.2,4.1,3.7,3.6,3.7,3.7,3.5,4.9,4.1,3.4,4.7,4,4.4,4.2,4
