Table 4-2:  Emissions from Industrial Processes and Product Use (kt),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Phosphoric Acid Production," 1,529 "," 1,398 "," 1,509 "," 1,304 "," 1,519 "," 1,513 "," 1,551 "," 1,544 "," 1,593 "," 1,539 "," 1,382 "," 1,264 "," 1,338 "," 1,382 "," 1,395 "," 1,342 "," 1,160 "," 1,203 "," 1,132 ", 977 ," 1,087 "," 1,151 "," 1,093 "," 1,119 "," 1,095 "
,Zinc Production, 632 , 809 , 843 , 931 , 918 , 865 , 925 , 971 , 885 , 865 , 944 , 713 , 746 ," 1,096 "," 1,030 "," 1,030 "," 1,030 "," 1,025 "," 1,159 ", 943 ," 1,182 "," 1,286 "," 1,486 "," 1,429 ", 956 
,Lead Production, 516 , 485 , 488 , 486 , 507 , 553 , 563 , 585 , 588 , 587 , 594 , 563 , 561 , 574 , 546 , 553 , 560 , 562 , 547 , 525 , 542 , 538 , 527 , 546 , 518 
,Silicon Carbide Production and Consumption, 375 , 287 , 313 , 297 , 325 , 329 , 332 , 347 , 373 , 301 , 248 , 199 , 183 , 202 , 224 , 219 , 207 , 196 , 175 , 145 , 181 , 170 , 158 , 169 , 173 
,Magnesium Production and Processing, 1 , 1 , 1 , 1 , 1 , 1 , 2 , 2 , 2 , 2 , 2 , 3 , 3 , 3 , 2 , 3 , 3 , 3 , 2 , 1 , 1 , 3 , 2 , 2 , 2 
,CH4, 12 , 12 , 11 , 13 , 14 , 15 , 15 , 16 , 16 , 15 , 14 , 10 , 10 , 10 , 8 , 4 , 3 , 3 , 3 , 3 , 3 , 3 , 4 , 4 , 6 
,Petrochemical Production, 9 , 9 , 9 , 11 , 12 , 12 , 13 , 14 , 14 , 13 , 12 , 8 , 8 , 8 , 7 , 3 , 2 , 2 , 2 , 2 , 2 , 2 , 3 , 3 , 5 
,Ferroalloy Production, 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , 1 , +  , 1 
,Silicon Carbide Production and Consumption, 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  
,Iron and Steel Production & Metallurgical Coke Production, 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , +  , +  , +  , +  , +  , +  , +  , +  , +  
