Table 4-44:  CO2 and CH4 Emissions from Petrochemical Production (kt),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,CO2,"21,609"," 23,051 "," 23,658 "," 24,604 "," 26,571 "," 27,946 "," 29,093 "," 30,490 "," 30,848 "," 32,297 "," 31,567 "," 27,628 "," 28,673 "," 28,448 "," 30,667 "," 27,380 "," 27,623 "," 28,069 "," 24,741 "," 23,796 ","27,246","26,326","26,464","26,437","26,509"
,CH4,9, 9 , 9 , 11 , 12 , 12 , 13 , 14 , 14 , 13 , 12 , 8 , 8 , 8 , 7 , 3 , 2 , 2 , 2 , 2 ,2,2,3,3,5
