Table 4-56:  Approach 2 Quantitative Uncertainty Estimates for CO2 Emissions from Phosphoric Acid Production (MMT CO2 Eq. and Percent) ,,,,,,,
,,,,,,,
,Source,Gas,2014 Emission Estimate,Uncertainty Range Relative to Emission Estimatea,,,
,,,(MMT CO2 Eq.),(MMT CO2 Eq.),,(%),
,,,,Lower,Upper,Lower,Upper
,,,,Bound,Bound,Bound,Bound
,Phosphoric Acid Production,CO2,1.1,0.9,1.4,-19%,20%
,a Range of emission estimates predicted by Monte Carlo Stochastic Simulation for a 95 percent confidence interval.,,,,,,
