"Table A-6: 2014 Key Source Category Approach 1 and Approach 2 Analysis—Level Assessment, without LULUCF",,,,,,
IPCC Source Categories,Direct GHG,2014 Estimate (MMT CO2 Eq.),Approach 1 Level Assessment,Cumulative Total,Uncertaintya,Approach 2 Level Assessment
CO2 Emissions from Stationary Combustion - Coal - Electricity Generation,CO2,1570.4,0.23,0.23,10%,0.022
CO2 Emissions from Mobile Combustion: Road,CO2,1467.5,0.21,0.44,6%,0.014
CO2 Emissions from Stationary Combustion - Gas - Industrial,CO2,466,0.07,0.51,7%,0.005
CO2 Emissions from Stationary Combustion - Gas - Electricity Generation,CO2,443.2,0.06,0.57,5%,0.003
CO2 Emissions from Stationary Combustion - Gas - Residential,CO2,277.6,0.04,0.61,7%,0.003
CO2 Emissions from Stationary Combustion - Oil - Industrial,CO2,271.9,0.04,0.65,19%,0.008
Direct N2O Emissions from Agricultural Soil Management,N2O,261,0.04,0.69,24%,0.009
CO2 Emissions from Stationary Combustion - Gas - Commercial,CO2,189.2,0.03,0.72,7%,0.002
CH4 Emissions from Natural Gas Systems,CH4,176.1,0.03,0.75,30%,0.008
CH4 Emissions from Enteric Fermentation,CH4,164.3,0.02,0.77,18%,0.004
Emissions from Substitutes for Ozone Depleting Substances,Several,161.2,0.02,0.79,10%,0.002
CO2 Emissions from Mobile Combustion: Aviation,CO2,150.1,0.02,0.81,6%,0.001
CH4 Emissions from Landfills,CH4,148,0.02,0.84,61%,0.013
CO2 Emissions from Non-Energy Use of Fuels,CO2,114.3,0.02,0.85,42%,0.007
CO2 Emissions from Mobile Combustion: Other,CO2,92,0.01,0.87,6%,0.001
CO2 Emissions from Stationary Combustion - Coal - Industrial,CO2,75.3,0.01,0.88,16%,0.002
CH4 Emissions from Petroleum Systems,CH4,68.1,0.01,0.89,149%,0.015
Fugitive Emissions from Coal Mining,CH4,67.6,0.01,0.9,15%,0.002
CO2 Emissions from Stationary Combustion - Oil - Residential,CO2,67.5,0.01,0.91,5%,0.001
CH4 Emissions from Manure Management,CH4,61.2,0.01,0.92,20%,0.002
Indirect N2O Emissions from Applied Nitrogen,N2O,57.3,0.01,0.92,139%,0.012
CO2 Emissions from Iron and Steel Production & Metallurgical Coke Production,CO2,55.4,0.01,0.93,15%,0.001
CO2 Emissions from Natural Gas Systems,CO2,42.4,0.01,0.94,30%,0.002
CO2 Emissions from Cement Production,CO2,38.8,0.01,0.94,6%,<0.001 
CO2 Emissions from Stationary Combustion - Oil - Commercial,CO2,38.2,0.01,0.95,5%,<0.001 
CO2 Emissions from Stationary Combustion - Oil - U.S. Territories,CO2,34.6,0.01,0.95,11%,0.001
CO2 Emissions from Mobile Combustion: Marine,CO2,28,<0.01 ,0.96,6%,<0.001 
CO2 Emissions from Petrochemical Production,CO2,26.5,<0.01 ,0.96,5%,<0.001 
CO2 Emissions from Stationary Combustion - Oil - Electricity Generation,CO2,25.3,<0.01 ,0.97,8%,<0.001 
Non-CO2 Emissions from Stationary Combustion - Electricity Generation,N2O,19.6,<0.01 ,0.97,173%,0.005
N2O Emissions from Manure Management,N2O,17.5,<0.01 ,0.97,24%,0.001
CH4 Emissions from Wastewater Treatment,CH4,14.7,<0.01 ,0.97,39%,0.001
CO2 Emissions from Lime Production,CO2,14.1,<0.01 ,0.98,3%,<0.001 
N2O Emissions from Mobile Combustion: Road,N2O,12.5,<0.01 ,0.98,27%,<0.001 
CO2 Emissions from Other Process Uses of Carbonates,CO2,12.1,<0.01 ,0.98,15%,<0.001 
CH4 Emissions from Rice Cultivation,CH4,11.9,<0.01 ,0.98,17%,<0.001 
N2O Emissions from Nitric Acid Production,N2O,10.9,<0.01 ,0.98,5%,<0.001 
CO2 Emissions from Ammonia Production,CO2,9.4,<0.01 ,0.98,8%,<0.001 
CO2 Emissions from Incineration of Waste,CO2,9.4,<0.01 ,0.99,14%,<0.001 
Fugitive Emissions from Abandoned Underground Coal Mines,CH4,6.3,<0.01 ,0.99,24%,<0.001 
SF6 Emissions from Electrical Transmission and Distribution,SF6,5.6,<0.01 ,0.99,23%,<0.001 
N2O Emissions from Adipic Acid Production,N2O,5.4,<0.01 ,0.99,4%,<0.001 
HFC-23 Emissions from HCFC-22 Production,HFCs,5,<0.01 ,0.99,10%,<0.001 
Non-CO2 Emissions from Stationary Combustion - Residential,CH4,5,<0.01 ,0.99,234%,0.002
N2O Emissions from Wastewater Treatment,N2O,4.8,<0.01 ,0.99,108%,0.001
"PFC, HFC, SF6, and NF3 Emissions from Semiconductor Manufacture",Several,4.5,<0.01 ,0.99,6%,<0.001 
CO2 Emissions from Stationary Combustion - Coal - Commercial,CO2,4.5,<0.01 ,0.99,15%,<0.001 
CO2 Emissions from Carbon Dioxide Consumption,CO2,4.5,<0.01 ,0.99,13%,<0.001 
N2O Emissions from Product Uses,N2O,4.2,<0.01 ,0.99,24%,<0.001 
CO2 Emissions from Urea Consumption for Non-Ag Purposes,CO2,4,<0.01 ,0.99,12%,<0.001 
CO2 Emissions from Petroleum Systems,CO2,3.6,<0.01 ,0.99,149%,0.001
CO2 Emissions from Stationary Combustion - Coal - U.S. Territories,CO2,3.4,<0.01 ,0.99,19%,<0.001 
CO2 Emissions from Stationary Combustion - Gas - U.S. Territories,CO2,3,<0.01 ,0.99,17%,<0.001 
CO2 Emissions from Aluminum Production ,CO2,2.8,<0.01 ,1,2%,<0.001 
CO2 Emissions from Soda Ash Production and Consumption,CO2,2.8,<0.01 ,1,7%,<0.001 
PFC Emissions from Aluminum Production,PFCs,2.5,<0.01 ,1,2%,<0.001 
Non-CO2 Emissions from Stationary Combustion - Industrial,N2O,2.4,<0.01 ,1,222%,0.001
CH4 Emissions from Composting,CH4,2.1,<0.01 ,1,50%,<0.001 
N2O Emissions from Mobile Combustion: Other,N2O,2,<0.01 ,1,2%,<0.001 
CO2 Emissions from Ferroalloy Production,CO2,1.9,<0.01 ,1,12%,<0.001 
N2O Emissions from Composting,N2O,1.8,<0.01 ,1,50%,<0.001 
CO2 Emissions from Titanium Dioxide Production,CO2,1.8,<0.01 ,1,13%,<0.001 
Non-CO2 Emissions from Stationary Combustion - Industrial,CH4,1.5,<0.01 ,1,50%,<0.001 
CH4 Emissions from Mobile Combustion: Road,CH4,1.4,<0.01 ,1,18%,<0.001 
N2O Emissions from Mobile Combustion: Aviation,N2O,1.4,<0.01 ,1,3%,<0.001 
CO2 Emissions from Glass Production,CO2,1.3,<0.01 ,1,5%,<0.001 
CO2 Emissions from Phosphoric Acid Production,CO2,1.1,<0.01 ,1,20%,<0.001 
Non-CO2 Emissions from Stationary Combustion - Commercial,CH4,1.1,<0.01 ,1,140%,<0.001 
SF6 Emissions from Magnesium Production and Processing,SF6,1,<0.01 ,1,11%,<0.001 
Non-CO2 Emissions from Stationary Combustion - Residential,N2O,1,<0.01 ,1,206%,<0.001 
CO2 Emissions from Zinc Production,CO2,1,<0.01 ,1,21%,<0.001 
CH4 Emissions from Mobile Combustion: Other,CH4,0.5,<0.01 ,1,2%,<0.001 
N2O Emissions from Mobile Combustion: Marine,N2O,0.5,<0.01 ,1,31%,<0.001 
CO2 Emissions from Lead Production,CO2,0.5,<0.01 ,1,16%,<0.001 
Non-CO2 Emissions from Stationary Combustion - Electricity Generation,CH4,0.4,<0.01 ,1,22%,<0.001 
CO2 Emissions from Stationary Combustion - Geothermal Energy,CO2,0.4,<0.01 ,1,NA,<0.001 
N2O Emissions from Incineration of Waste,N2O,0.3,<0.01 ,1,163%,<0.001 
Non-CO2 Emissions from Stationary Combustion - Commercial,N2O,0.3,<0.01 ,1,42%,<0.001 
CH4 Emissions from Field Burning of Agricultural Residues,CH4,0.3,<0.01 ,1,40%,<0.001 
N2O Emissions from Semiconductor Manufacture,N2O,0.2,<0.01 ,1,12%,<0.001 
CO2 Emissions from Silicon Carbide Production and Consumption,CO2,0.2,<0.01 ,1,9%,<0.001 
HFC-134a Emissions from Magnesium Production and Processing,HFCs,0.1,<0.01 ,1,5%,<0.001 
CH4 Emissions from Petrochemical Production,CH4,0.1,<0.01 ,1,55%,<0.001 
Non-CO2 Emissions from Stationary Combustion - U.S. Territories,N2O,0.1,<0.01 ,1,200%,<0.001 
N2O Emissions from Field Burning of Agricultural Residues,N2O,0.1,<0.01 ,1,29%,<0.001 
Non-CO2 Emissions from Stationary Combustion - U.S. Territories,CH4,0.1,<0.01 ,1,56%,<0.001 
CH4 Emissions from Mobile Combustion: Aviation,CH4,+ ,<0.01 ,1,3%,<0.001 
CH4 Emissions from Mobile Combustion: Marine,CH4,+ ,<0.01 ,1,8%,<0.001 
CH4 Emissions from Ferroalloy Production,CH4,+ ,<0.01 ,1,12%,<0.001 
CH4 Emissions from Silicon Carbide Production and Consumption,CH4,+ ,<0.01 ,1,10%,<0.001 
CH4 Emissions from Iron and Steel Production & Metallurgical Coke Production,CH4,+ ,<0.01 ,1,19%,<0.001 
CO2 Emissions from Magnesium Production and Processing,CO2,+ ,<0.01 ,1,5%,<0.001 
CH4 Emissions from Incineration of Waste,CH4,+ ,<0.01 ,1,NE,<0.001 
CO2 Emissions from Stationary Combustion - Coal - Residential,CO2,0,<0.01 ,1,NE,<0.001 
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,
Note: LULUCF sources and sinks are not included in this analysis. ,,,,,,
"a Percent relative uncertainty. If the corresponding uncertainty is asymmetrical, the uncertainty given here is the larger and always positive.",,,,,,
NE - Not Estimated,,,,,,
NA - Not Available,,,,,,
