"Table A-9: 1990-2014 Key Source Category Approach 1 and 2 Analysis—Trend Assessment, with LULUCF",,,,,,,
IPCC Source Categories,Direct GHG,1990 Estimate (MM TCO2 Eq.),2014 Estimate,Approach 1 Trend Assessment,Approach 2 Trend Assessment,Percent Contribution to Trend (%),Cumulative Contribution to Trend (%)
,,,(MMT CO2 Eq.),,,,
CH4 Emissions from Silicon Carbide Production and Consumption,CH4,+ ,+ ,<0.01 ,<0.001 ,<0.1 ,100
N2O Emissions from Field Burning of Agricultural Residues,N2O,0.1,0.1,<0.01 ,<0.001 ,<0.1 ,100
CH4 Emissions from Iron and Steel Production & Metallurgical Coke Production,CH4,+ ,+ ,<0.01 ,<0.001 ,<0.1 ,100
CO2 Emissions from Stationary Combustion - Geothermal Energy,CO2,0.4,0.4,<0.01 ,<0.001 ,<0.1 ,100
Non-CO2 Emissions from Stationary Combustion - U.S. Territories,CH4,+ ,0.1,<0.01 ,<0.001 ,<0.1 ,100
CH4 Emissions from Ferroalloy Production,CH4,+ ,+ ,<0.01 ,<0.001 ,<0.1 ,100
Non-CO2 Emissions from Stationary Combustion - Commercial,CH4,1.0,1.1,<0.01 ,<0.001 ,<0.1 ,100
CO2 Emissions from Urea Consumption for Non-Ag Purposes,CO2,3.8,4.0,<0.01 ,<0.001 ,<0.1 ,100
CH4 Emissions from Peatlands Remaining Peatlands,CH4,+ ,+ ,<0.01 ,<0.001 ,<0.1 ,100
CO2 Emissions from Magnesium Production and Processing,CO2,+ ,+ ,<0.01 ,<0.001 ,<0.1 ,100
CH4 Emissions from Mobile Combustion: Marine,CH4,+ ,+ ,<0.01 ,<0.001 ,<0.1 ,100
N2O Emissions from Peatlands Remaining Peatlands,N2O,+ ,+ ,<0.01 ,<0.001 ,<0.1 ,100
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,
