Table 9-1:  Revisions to U.S. Greenhouse Gas Emissions (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Average Annual Change
,International Bunker Fuelsa,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Biomass – Ethanola,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,CH4b,28.4,28.1,23.4,20.3,12.0,17.8,11.4,15.8,17.0,7.7,1.3,6.4,2.9,1.3,6.6,9.5,-0.7,1.7,11.0,25.9,55.2,56.5,66.8,85.2,21.3
,Stationary Combustion,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Mobile Combustion,+,+,+,+,+,+,+,+,+,-0.3,-0.4,-0.6,-0.4,-0.4,-0.3,-0.3,-0.2,-0.1,+,+,+,+,+,+,-0.1
,Coal Mining,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Abandoned Underground Coal Mines,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Natural Gas Systems,27.6,27.3,26.9,23.8,22.8,20.0,17.4,15.5,16.2,15.5,8.7,11.1,6.1,3.6,2.0,1.0,3.7,0.3,2.5,3.4,6.6,10.8,18.2,18.2,12.9
,Petroleum Systems,7.2,7.2,7.1,7.0,8.8,10.5,12.1,13.8,15.4,17.1,18.7,20.3,21.5,22.9,24.1,25.4,26.6,28.3,29.8,30.6,32.7,34.3,35.1,39.5,20.7
,Petrochemical Production,+,+,+,+,+,+,+,+,+,+,+,-0.1,-0.1,-0.1,-0.1,-0.1,+,+,+,+,+,+,+,+,+
,Silicon Carbide Production and Consumption,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Iron and Steel Production & Metallurgical Coke Production,-1.1,-1.0,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.0,-1.1,-0.9,-0.9,-0.9,-1.0,-0.8,-0.9,-0.8,-0.8,-0.4,-0.6,-0.7,-0.7,-0.7,-0.9
,Ferroalloy Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Enteric Fermentation,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,0.3,0.2,0.2,0.4,0.9,0.1
