Table 3-40: Approach 2 Quantitative Uncertainty Estimates for CH4 Emissions from Petroleum Systems (MMT CO2 Eq. and Percent) ,,,,,,,
,,,,,,,
,Source,Gas,2014 Emission Estimate,Uncertainty Range Relative to Emission Estimatea,,,
,,,(MMT CO2 Eq.)b,(MMT CO2 Eq.),,(%),
,,,,Lower,Upper,Lower,Upper
,,,,Bound,Bound,Bound,Bound
,Petroleum Systems,CH4,68.1,51.8,101.5,-24%,149%
,Petroleum Systems,CO2,3.6,2.7,5.4,-24%,149%
,"a Range of 2014 relative uncertainty predicted by Monte Carlo Stochastic Simulation, based on 1995 base year activity factors, for a 95 percent confidence interval.",,,,,,
,"b All reported values are rounded after calculation. As a result, lower and upper bounds may not be duplicable from other rounded values as shown in table.",,,,,,
