Table 3-47:  CH4 Emissions from Natural Gas Systems (kt)a,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stage,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Field Production,"3,335","3,434","3,427","3,520","3,602","3,582","3,676","3,723","3,755","3,823","3,855","4,128","4,098","4,160","4,210","4,326","4,488","4,504","4,654","4,348","4,330","4,352","4,442","4,429","4,359"
,Processing,852,833,837,845,866,847,846,845,838,815,821,829,796,766,746,655,654,681,708,768,717,851,890,904,960
,Transmission and Storage,"2,343","2,372","2,375","2,274","2,204","2,128","2,088","1,997","1,887","1,803","1,724","1,577","1,526","1,474","1,371","1,230","1,215","1,212","1,171","1,186","1,100","1,152","1,116","1,232","1,282"
,Distribution,"1,741","1,715","1,671","1,632","1,640","1,517","1,424","1,376","1,331","1,243","1,189","1,132",955,900,871,884,818,671,631,556,500,449,457,458,444
,Total,"8,270","8,354","8,309","8,270","8,311","8,074","8,034","7,940","7,810","7,683","7,589","7,667","7,376","7,300","7,198","7,093","7,175","7,068","7,164","6,858","6,647","6,803","6,906","7,023","7,045"
,"a These values represent CH4 emitted to the atmosphere. CH4 that is captured, flared, or otherwise controlled (and not emitted to the atmosphere) has been calculated and removed from emission totals.",,,,,,,,,,,,,,,,,,,,,,,,,
,Note:  Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
