Table 3-27:  Approach 2 Quantitative Uncertainty Estimates for CO2 and N2O from the Incineration of Waste (MMT CO2 Eq. and Percent),,,,,,,
,,,,,,,
,,,2014 Emission Estimate,Uncertainty Range Relative to Emission Estimatea,,,
,Source,Gas,(MMT CO2 Eq.),(MMT CO2 Eq.),,(%),
,,,,Lower,Upper,Lower,Upper
,,,,Bound,Bound,Bound,Bound
,Incineration of Waste,CO2,9.4,8.5,11.5,-10%,14%
,Incineration of Waste,N2O,0.3,0.1,0.8,-53%,163%
,a Range of emission estimates predicted by Monte Carlo Simulation for a 95 percent confidence interval.,,,,,,
