Table 3-46:  CH4 Emissions from Natural Gas Systems (MMT CO2 Eq.)a,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stage,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Field Production,83.4,85.9,85.7,88,90.1,89.6,91.9,93.1,93.9,95.6,96.4,103.2,102.5,104,105.2,108.1,112.2,112.6,116.3,108.7,108.3,108.8,111.1,110.7,109
,Processing,21.3,20.8,20.9,21.1,21.6,21.2,21.2,21.1,20.9,20.4,20.5,20.7,19.9,19.2,18.7,16.4,16.3,17,17.7,19.2,17.9,21.3,22.3,22.6,24
,Transmission and Storage,58.6,59.3,59.4,56.9,55.1,53.2,52.2,49.9,47.2,45.1,43.1,39.4,38.2,36.9,34.3,30.7,30.4,30.3,29.3,29.6,27.5,28.8,27.9,30.8,32.1
,Distribution,43.5,42.9,41.8,40.8,41,37.9,35.6,34.4,33.3,31.1,29.7,28.3,23.9,22.5,21.8,22.1,20.5,16.8,15.8,13.9,12.5,11.2,11.4,11.5,11.1
,Total,206.8,208.9,207.7,206.8,207.8,201.9,200.9,198.5,195.3,192.1,189.7,191.7,184.4,182.5,180,177.3,179.4,176.7,179.1,171.4,166.2,170.1,172.6,175.6,176.1
,"a These values represent CH4 emitted to the atmosphere. CH4 that is captured, flared, or otherwise controlled (and not emitted to the atmosphere) has been calculated and removed from emission totals. ",,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding,,,,,,,,,,,,,,,,,,,,,,,,,
