"Table 3-4:  CO2, CH4, and N2O Emissions from Fossil Fuel Combustion (kt)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,CO2,"4,740,671","4,690,305","4,793,205","4,915,308","4,990,036","5,041,202","5,232,821","5,297,075","5,333,685","5,401,334","5,594,008","5,525,220","5,560,946","5,620,022","5,709,159","5,747,142","5,660,581","5,751,156","5,566,750","5,193,545","5,358,292","5,227,690","5,024,685","5,157,583","5,208,207"
,CH4,565,567,578,552,539,534,538,498,463,446,449,417,408,408,409,406,382,390,394,390,372,374,352,404,405
,N2O,178,184,195,203,209,214,218,221,222,213,212,199,195,189,187,183,177,165,157,151,154,147,139,138,133
