"Table 3-25:  CO2, CH4, and N2O Emissions from the Incineration of Waste (kt)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Waste Product,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014a
,CO2,"7,972","7,979","9,506","9,770","10,850","11,280","11,876","11,863","10,826","11,001","11,104","11,382","11,816","12,086","12,365","12,454","12,515","12,711","11,867","11,295","11,026","10,550","10,362","9,421","9,421"
,Plastics,"5,588","5,283","6,056","5,796","6,104","6,323","6,631","6,687","5,898","6,090","6,104","6,325","6,549","6,660","6,883","6,919","6,722","6,660","6,148","5,946","5,969","5,757","5,709","4,857","4,857"
,Synthetic Rubber in Tires,308,512,716,992,"1,268","1,356","1,444","1,437","1,431","1,435","1,454","1,444","1,499","1,555","1,577","1,599","1,712","1,823","1,693","1,560","1,461","1,363","1,262","1,158","1,158"
,Carbon Black in Tires,385,640,895,"1,240","1,586","1,696","1,805","1,798","1,790","1,795","1,818","1,805","1,865","1,924","1,941","1,958","2,113","2,268","2,085","1,903","1,783","1,663","1,537","1,412","1,412"
,Synthetic Rubber in MSW,854,765,871,812,854,791,819,785,682,657,676,719,744,757,771,765,760,775,755,731,701,712,705,729,729
,Synthetic Fibers,838,780,969,930,"1,039","1,115","1,177","1,156","1,025","1,024","1,051","1,090","1,158","1,189","1,192","1,212","1,208","1,185","1,186","1,155","1,112","1,056","1,149","1,265","1,265"
,CH4,+,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+,+ ,+ ,+ ,+ ,+,+,+,+,+
,N2O,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,a Set equal to 2013 value.,,,,,,,,,,,,,,,,,,,,,,,,,
