Table 7-19:  U.S. Waste Composted (kt),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Waste Composted," 3,810 "," 4,355 "," 4,899 "," 6,260 "," 7,693 "," 8,709 "," 9,898 "," 10,950 "," 11,921 "," 13,354 "," 14,923 "," 15,014 "," 15,187 "," 17,309 "," 18,570 "," 18,643 "," 18,852 "," 19,695 "," 20,049 "," 18,824 "," 18,298 "," 18,661 "," 19,351 "," 20,358 "," 20,533 "
