Table 7-16:  Approach 2 Quantitative Uncertainty Estimates for CH4 Emissions from Wastewater Treatment (MMT CO2 Eq. and Percent) ,,,,,,,
,,,,,,,
,Source,Gas,2014 Emission Estimate,Uncertainty Range Relative to Emission Estimatea,,,
,,,(MMT CO2 Eq.),(MMT CO2 Eq.),,(%),
,,,,Lower,Upper,Lower,Upper
,,,,Bound,Bound,Bound,Bound
,Wastewater Treatment,CH4,14.7,9,15,-39%,2%
,Domestic,CH4,9,5.7,9.7,-37%,8%
,Industrial,CH4,5.7,2.4,6.8,-58%,20%
,Wastewater Treatment,N2O,4.8,1.1,10.1,-76%,108%
,a Range of emission estimates predicted by Monte Carlo Stochastic Simulation for a 95 percent confidence interval.,,,,,,
