Table 7-2:  Emissions from Waste (kt),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,CH4," 7,823 "," 7,921 "," 7,922 "," 7,841 "," 7,843 "," 7,658 "," 7,516 "," 7,147 "," 6,761 "," 6,502 "," 6,376 "," 6,180 "," 6,205 "," 6,468 "," 6,523 "," 6,871 "," 6,778 "," 6,840 "," 6,896 "," 6,878 "," 6,377 "," 6,459 "," 6,369 "," 6,445 "," 6,589 "
,Landfills," 7,182 "," 7,267 "," 7,255 "," 7,169 "," 7,159 "," 6,967 "," 6,822 "," 6,444 "," 6,054 "," 5,786 "," 5,656 "," 5,472 "," 5,496 "," 5,759 "," 5,815 "," 6,161 "," 6,066 "," 6,126 "," 6,180 "," 6,180 "," 5,685 "," 5,774 "," 5,691 "," 5,772 "," 5,919 "
,Wastewater Treatment, 626 , 636 , 648 , 647 , 654 , 655 , 654 , 659 , 659 , 663 , 660 , 648 , 648 , 640 , 634 , 636 , 636 , 635 , 635 , 623 , 618 , 610 , 601 , 592 , 588 
,Composting, 15 , 17 , 20 , 25 , 31 , 35 , 40 , 44 , 48 , 53 , 60 , 60 , 61 , 69 , 74 , 75 , 75 , 79 , 80 , 75 , 73 , 75 , 77 , 81 , 82 
,N2O, 12 , 13 , 13 , 14 , 15 , 15 , 16 , 16 , 17 , 18 , 18 , 18 , 19 , 20 , 20 , 20 , 21 , 21 , 21 , 20 , 21 , 21 , 22 , 22 , 22 
,Wastewater Treatment, 11 , 12 , 12 , 12 , 12 , 12 , 13 , 13 , 13 , 14 , 14 , 14 , 14 , 14 , 15 , 15 , 15 , 15 , 15 , 15 , 15 , 16 , 16 , 16 , 16 
,Composting, 1 , 1 , 1 , 2 , 2 , 3 , 3 , 3 , 4 , 4 , 4 , 5 , 5 , 5 , 6 , 6 , 6 , 6 , 6 , 6 , 5 , 6 , 6 , 6 , 6 
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
