Table A-142:  Key Activity Data Drivers,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,Units,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Steel—Unprotected d,1",miles,"108,941","102,816","99,619","99,335","99,224","94,058","88,412","87,650","86,639","84,534","82,800","81,291","78,119","74,042","75,801","72,458","72,286","71,065","70,434","67,758","67,443","64,981","63,703","60,619","58,520"
"Steel—Protected d,1",miles,"465,538","473,727","469,106","481,702","509,301","503,288","484,526","515,575","484,963","459,298","471,510","475,329","480,982","483,782","498,978","490,156","491,331","489,541","487,687","488,352","488,718","488,810","487,646","486,771","486,432"
"Plastic d,1",miles,"311,386","255,681","267,283","293,547","333,689","353,735","350,699","416,896","400,627","415,210","449,425","498,234","532,499","505,768","542,841","560,301","582,931","602,770","612,648","626,415","637,346","649,743","661,939","675,022","690,029"
a DI Desktop (2015),,,,,,,,,,,,,,,,,,,,,,,,,,
"b Bureau of Ocean Energy Management, Regulation and Enforcement (2011)",,,,,,,,,,,,,,,,,,,,,,,,,,
c Oil and Gas Journal,,,,,,,,,,,,,,,,,,,,,,,,,,
"d Pipeline and Hazardous Materials Safety Administration (PHMSA), Office of Pipeline Safety (OPS) (2014)",,,,,,,,,,,,,,,,,,,,,,,,,,
1 Activity data for 2014 available from source.,,,,,,,,,,,,,,,,,,,,,,,,,,
2 2013 activity data are used to determine some or all of the 2014 activity (to be updated).,,,,,,,,,,,,,,,,,,,,,,,,,,
aa Number of platforms include both oil and gas platforms,,,,,,,,,,,,,,,,,,,,,,,,,,
