Table A-131:  Ratios of CO2 to CH­­4   Volume in Emissions from Petroleum Production Field Operations,,,,
,"Whole Crude,",Associated Gas,Tank Flash Gas,Offshore
,Post-Separator,,,
Ratio %CO­2 / %CH4,0.052,0.02,0.017,0.004
