Table A-92: Fuel Consumption by Fuel and Vehicle Type (million gallons unless otherwise specified),,,,,,,,,,,,,,,,,,,,,,,,,
  Pipelines,0.7,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.6,0.7,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.9
LPGf,265,246,225,236,393,206,182,165,205,166,138,159,166,207,222,327,320,257,468,331,348,404,442,525,519
  Buses,-,-,-,5.9,3.4,1.6,3.4,3,3.6,2.4,1.5,+ ,0.6,0.7,0.7,1,1,-,-,-,-,-,-,4.6,4.6
  Light-Duty Trucks,106,100,90,88,175,98,87,80,100,91,88,108,117,144,167,247,229,185,340,228,243,283,316,368,364
  Medium- and Heavy-Duty Trucks,159,146,135,141,214,106,91,82,102,72,49,51,49,62,55,79,89,72,128,103,106,121,126,152,150
"Electricityf, h","4,751","4,758","4,706","4,771","4,994","4,975","4,923","4,907","4,962","5,126","5,382","5,724","5,517","6,810","7,224","7,506","7,358","8,173","7,653","7,768","7,712","7,672","7,320","7,625","7,758"
  Rail,"4,751","4,758","4,706","4,771","4,994","4,975","4,923","4,907","4,962","5,126","5,382","5,724","5,517","6,810","7,224","7,506","7,358","8,173","7,653","7,768","7,712","7,672","7,320","7,625","7,758"
"""-"" Unreported or zero",,,,,,,,,,,,,,,,,,,,,,,,,
 + Does not exceed 0.5 million gallons,,,,,,,,,,,,,,,,,,,,,,,,,
"a In 2011, FHWA changed its methodology for Table VM-1, which impacts estimates for the 2007-2014 time period.  These methodological changes include how on-road vehicles are classified, moving from a system based on body-type to one that is based on wheelbase.  This resulted in large changes in fuel consumption data by vehicle class between 2006 and 2007.  ",,,,,,,,,,,,,,,,,,,,,,,,,
"b Figures do not include ethanol blended in motor gasoline or biodiesel blended into distillate fuel oil. Net carbon fluxes associated with ethanol are accounted for in the Land Use, Land-Use Change and Forestry chapter. This table is calculated with the heat content for gasoline without ethanol (from Table A.2 in the EIA Annual Energy Review) rather than the annually variable quantity-weighted heat content for gasoline with ethanol, which varies by year.  In addition, updates to the distillate fuel oil heat content data from EIA for years 1993 through present resulted in changes to the time series for energy consumption and emissions compared to the previous Inventory.",,,,,,,,,,,,,,,,,,,,,,,,,
"c Gasoline and diesel highway vehicle fuel consumption estimates are based on data from FHWA Highway Statistics Table VM-1 and MF-27 (FHWA 1996 through 2015). These fuel consumption estimates are combined with estimates of fuel shares by vehicle type from DOE’s TEDB Annex Tables A.1 through A.6 (DOE 1993 through 2015).  TEDB data for 2014 has not been published yet, therefore 2013 data is used as a proxy.   ",,,,,,,,,,,,,,,,,,,,,,,,,
d Fluctuations in recreational boat gasoline estimates reflect the use of this category to reconcile bottom-up values with EIA total gasoline estimates.,,,,,,,,,,,,,,,,,,,,,,,,,
"e Class II and Class II diesel consumption data for 2014 is not available yet, therefore 2013 data is used as a proxy.  ",,,,,,,,,,,,,,,,,,,,,,,,,
"f Estimated based on EIA transportation sector energy estimates by fuel type, with bottom-up activity data used for apportionment to modes. ",,,,,,,,,,,,,,,,,,,,,,,,,
g Fluctuations in reported fuel consumption may reflect data collection problems. ,,,,,,,,,,,,,,,,,,,,,,,,,
h Million Kilowatt-hours,,,,,,,,,,,,,,,,,,,,,,,,,
