Table A-229: Nitrogen in Crop Residues Retained on Soils Producing Crops not Simulated by DAYCENT (kt N),,,,,,,,,,,,,,,,,,,,,,,,,
Crop Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Rice,"6,719","6,673","6,960","6,268","7,124","4,601","6,322","5,328","6,880","7,207","9,910","7,407","8,515","7,120","8,577","7,541","7,033","6,454","6,910","6,964","6,813","7,074","7,414","7,592","7,498"
Rye,"2,541","2,300","3,048","2,586","2,886","2,603","2,551","2,205","2,467","1,867","1,390","1,060",878,735,477,274,422,427,547,457,420,489,496,415,428
Safflower,984,912,"1,241","1,364","1,015",892,922,815,795,915,695,623,674,736,713,788,794,694,842,633,567,453,469,432,549
Sorghum,"7,944","6,534","8,832","6,989","6,202","5,731","6,265","5,007","4,866","5,087","4,118","4,517","3,458","4,036","3,253","1,867","1,505","2,000","1,602","1,225","1,132",919,866,985,"1,081"
Sorghum silage,873,624,"1,218",690,329,504,294,437,275,257,387,185,162,117,104,217,14,38,102,207,38,31,36,43,39
Soybeans,"72,959","68,603","64,770","59,673","67,895","54,617","56,547","50,212","54,449","49,162","51,834","55,888","52,456","48,123","59,561","60,651","57,665","53,229","53,300","58,487","57,209","55,863","54,070","57,660","60,801"
Spearmint Oil,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spinach,21,23,23,23,21,21,20,20,18,18,24,21,22,25,30,19,18,17,19,26,19,26,20,23,22
Squash,29,33,33,33,30,29,29,28,25,24,27,24,26,22,23,14,17,13,15,19,15,21,19,17,15
Sugarcane,"19,061","18,530","17,444","16,158","14,347","12,147","13,280","12,690","12,663","14,968","15,376","15,019","15,472","15,441","17,283","16,033","18,923","16,296","13,743","13,828","11,800","12,669","13,471","12,754","13,207"
Sunflower,415,195,370,353,503,504,206,302,954,225,251,431,433,379,247,152,247,209,186,268,131,128,133,126,132
Sweet potatoes,437,426,462,430,447,424,427,410,358,335,409,424,352,431,462,254,305,328,350,433,470,686,563,557,622
Tobacco,"12,508","13,982","14,156","13,328","13,006","11,597","13,821","15,476","10,436","8,723","8,865","8,073","7,305","5,978","5,911","3,458","5,808","5,644","5,380","4,430","5,023","4,346","5,349","4,797","5,462"
Tomatoes,587,652,662,653,602,584,576,556,502,616,575,517,584,518,654,324,392,429,435,586,473,599,526,543,577
Turnip greens,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Watermelon,251,279,283,280,258,250,247,238,215,222,221,242,222,221,226,129,164,149,168,196,187,210,177,190,157
Wheat,"40,306","31,679","38,729","37,253","32,814","30,994","30,346","31,089","30,890","24,753","26,666","22,252","21,399","26,664","22,829","23,199","17,851","21,863","26,921","27,396","25,467","24,219","25,510","25,960","24,262"
Total,"607,182","563,140","577,695","522,489","569,574","510,710","502,425","482,798","472,087","439,725","446,941","426,852","399,973","411,740","442,832","421,735","403,316","401,341","395,233","397,604","385,359","376,667","356,441","388,884","403,771"
