Table A-98:  Detailed Vehicle Miles Traveled for Alternative Fuel On-Road Vehicles (106 Miles) ,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Type/Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
   LNG,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1
   Biodiesel (BD100),+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,7.3,14.5,24,20.2,39.8,133.7,422,552,499.4,542.3,396.2,1355.2,1411.8,2271.9,2291.8
Heavy-Duty Trucks,130.4,130.5,114.1,145.1,136.2,127.6,131.2,130.8,132.7,115.6,137.1,159.1,186.5,181.1,217.7,439.5,1046.6,1388.9,1180.1,1227.1,1023.1,3368.5,3368,5320.4,5300.8
   Neat Ethanol ICE,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,1.3,1.6,1.9,2.2,2.7,3.1,3.5,4.5,7,11.3,15.7,22.2
   CNG ICE,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.3,0.5,0.9,1.5,2,2.4,1.9,1.9,2.7,2.9,2.7,3.4,3.6,3.6,4.1,5,6.1
   LPG ICE,122.1,122.2,106.8,135.8,127.6,119.5,122.8,122.4,124.0,107.8,109.1,110.7,114.4,118.1,106.4,87.2,76.6,65.8,56.2,49.6,41,43.1,28,27.6,20.6
   LPG Bi-fuel,8.3,8.3,7.2,9.2,8.7,8.1,8.3,8.3,8.4,7.3,7.4,7.5,7.8,8,6.4,5.4,4.8,4.6,4.6,5.4,5.6,8.3,6.5,7.1,5.9
   LNG,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,+ ,0.1,+ ,+ ,+ ,+ ,+ ,+ 
   Biodiesel (BD100),+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,19.7,39.3,62.3,51.2,101.4,343,960.2,1312.8,1113.4,1165.1,968.4,3306.4,3318.2,5265.1,5246
Buses,24.6,28.7,32.8,44.4,45.6,46.3,51.3,53.3,69.5,98.1,150.7,225.9,299.2,349.1,496.6,524.6,629.8,625.6,656.3,685.3,695.5,779.6,770.3,833.7,804.8
   Neat Methanol ICE,7.8,11.5,15.2,18.8,18.9,12.7,2.1,2.0,2.6,2.6,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
   Neat Ethanol ICE,+ ,+ ,0.5,0.5,0.8,5.9,16.0,6.7,0.3,0.4,0.1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.1
   CNG ICE,+ ,+ ,+ ,+ ,0.2,1.1,4.6,13.8,29.9,58.3,104.1,170.3,231.7,271.8,392.8,413.5,481.7,509.8,546.2,581.7,605.4,637.1,628.3,650.1,623.7
   LPG ICE,16.4,16.4,14.3,18.1,16.9,15.8,16.2,16.2,16.3,14.2,14.4,14.6,15.2,15.6,17.5,11.7,13.3,12.3,13.4,9,8.1,4.8,4.7,5,5.2
   LNG,0.4,0.8,1.9,6.1,7.5,8.9,10.4,11.9,17.1,18.6,23.2,28.5,30.1,33.7,58.9,61.4,66.8,40.2,39.8,36,36.8,39.5,41.1,29.4,27.5
   Biodiesel (BD100),+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.8,1.6,2.6,2,4.1,13.2,38.9,53.3,46.6,51.7,38.1,90.1,90.7,143.5,142.8
   Electric,+ ,+ ,1.0,0.8,1.2,1.8,2.1,2.7,3.2,4.1,8.2,10.9,19.6,26,23.2,24.8,29,9.9,10.2,6.8,7,7.7,5.1,5.3,5.2
   Fuel Cell Hydrogen,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3
Total VMT,560.8,578.8,536.7,692.9,681.0,646.0,670.9,683.6,722.0,716.0,893.4,1087.9,1336.9,1465.2,1501.2,1904.7,3008,3437.3,3094.9,3248.2,2875.1,7324.2,8020.9,12840,14367.6
+ Does not exceed 0.05 million vehicle miles traveled,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Throughout the rest of this Inventory, medium-duty trucks are grouped with heavy-duty trucks; they are reported separately here because these two categories may run on a slightly different range of fuel types.",,,,,,,,,,,,,,,,,,,,,,,,,
"In 2015, EIA changed its methods for estimating AFV fuel consumption.  These methodological changes included how vehicle counts are estimated, moving from estimates based on modeling to one that is based on survey data.  EIA now publishes data about fuel use and number of vehicles for only four types of AFV fleets: federal government, state government, transit agencies, and fuel providers. These changes were first incorporated for the 2014 Inventory and apply to the 1990-2014 time period. This resulted in large reductions in AFV VMT, thus leading to a shift in VMT to conventional on-road vehicle classes.",,,,,,,,,,,,,,,,,,,,,,,,,
Source: Derived from Browning (2015).,,,,,,,,,,,,,,,,,,,,,,,,,
